rank,word,count,freq_per_million
1,the,140269,70118.267621
2,of,69325,34654.477488
3,and,58939,29462.67939
4,in,56242,28114.491495
5,a,41118,20554.241693
6,to,40635,20312.797587
7,was,22976,11485.341144
8,on,17627,8811.460147
9,is,17454,8724.980167
10,for,17317,8656.496021
11,as,17024,8510.029928
12,with,14593,7294.811251
13,by,14431,7213.829998
14,at,12257,6127.081581
15,that,11495,5746.169762
16,he,11334,5665.688393
17,from,10808,5402.749264
18,it,8973,4485.461616
19,his,8892,4444.970989
20,an,7715,3856.607195
21,were,5970,2984.309132
22,which,5791,2894.829847
23,also,5754,2876.334129
24,are,5420,2709.37278
25,this,5226,2612.395231
26,be,4847,2422.93909
27,or,4735,2366.952051
28,first,4680,2339.458415
29,had,4369,2183.994405
30,new,4228,2113.510722
31,has,4170,2084.517434
32,she,3960,1979.541736
33,after,3954,1976.54243
34,her,3911,1955.047407
35,its,3889,1944.049952
36,one,3856,1927.553771
37,their,3823,1911.05759
38,who,3648,1823.577842
39,but,3579,1789.085827
40,not,3560,1779.588025
41,references,3291,1645.119155
42,two,3220,1609.627371
43,they,3165,1582.133736
44,have,2951,1475.158501
45,all,2727,1363.184423
46,been,2721,1360.185117
47,other,2683,1341.189515
48,university,2513,1256.209188
49,during,2508,1253.709766
50,when,2494,1246.711386
51,time,2487,1243.212196
52,into,2323,1161.231175
53,may,2317,1158.231869
54,world,2167,1083.249228
55,there,2150,1074.751195
56,would,2064,1031.761147
57,more,2040,1019.763925
58,year,2039,1019.26404
59,born,2001,1000.268438
60,only,1990,994.769711
61,school,1964,981.77272
62,national,1944,971.775034
63,state,1939,969.275613
64,up,1937,968.275844
65,de,1929,964.27677
66,later,1916,957.778274
67,years,1915,957.27839
68,i,1915,957.27839
69,over,1885,942.281862
70,film,1879,939.282556
71,three,1871,935.283482
72,no,1833,916.287879
73,external,1823,911.289037
74,season,1807,903.290888
75,between,1802,900.791467
76,s,1800,899.791698
77,team,1800,899.791698
78,american,1799,899.291814
79,where,1792,895.792624
80,while,1783,891.293666
81,out,1779,889.294128
82,links,1775,887.294591
83,under,1706,852.802576
84,can,1698,848.803502
85,most,1694,846.803965
86,some,1691,845.304312
87,second,1690,844.804428
88,such,1686,842.804891
89,city,1658,828.808131
90,made,1646,822.80952
91,him,1624,811.812066
92,being,1607,803.314033
93,used,1599,799.314959
94,united,1562,780.81924
95,history,1559,779.319588
96,part,1523,761.323754
97,series,1517,758.324448
98,south,1516,757.824564
99,before,1515,757.324679
100,known,1514,756.824795
101,about,1506,752.825721
102,war,1490,744.827572
103,then,1480,739.82873
104,these,1451,725.332086
105,than,1449,724.332317
106,including,1440,719.833359
107,through,1430,714.834516
108,x,1426,712.834979
109,against,1425,712.335094
110,became,1422,710.835442
111,life,1410,704.83683
112,both,1408,703.837062
113,states,1405,702.337409
114,early,1397,698.338335
115,league,1390,694.839145
116,game,1372,685.841228
117,high,1367,683.341806
118,well,1353,676.343426
119,music,1332,665.845857
120,many,1297,648.349907
121,until,1291,645.350601
122,work,1287,643.351064
123,see,1282,640.851643
124,them,1273,636.352684
125,since,1270,634.853032
126,however,1261,630.354073
127,group,1261,630.354073
128,following,1253,626.354999
129,career,1250,624.855346
130,north,1240,619.856503
131,released,1230,614.85766
132,international,1219,609.358933
133,c,1218,608.859049
134,september,1207,603.360322
135,d,1206,602.860438
136,house,1196,597.861595
137,four,1187,593.362637
138,march,1187,593.362637
139,based,1180,589.863447
140,john,1176,587.86391
141,october,1172,585.864372
142,july,1160,579.865761
143,company,1153,576.366571
144,january,1153,576.366571
145,june,1144,571.867613
146,b,1141,570.36796
147,m,1119,559.370506
148,name,1106,552.87201
149,april,1103,551.372357
150,people,1100,549.872704
151,played,1099,549.37282
152,family,1094,546.873399
153,district,1092,545.87363
154,august,1089,544.373977
155,will,1089,544.373977
156,several,1089,544.373977
157,november,1089,544.373977
158,general,1086,542.874325
159,government,1081,540.374903
160,album,1066,532.876639
161,number,1065,532.376755
162,area,1061,530.377218
163,service,1056,527.877796
164,december,1055,527.377912
165,r,1048,523.878722
166,each,1041,520.379532
167,member,1037,518.379995
168,county,1037,518.379995
169,system,1037,518.379995
170,former,1035,517.380226
171,if,1031,515.380689
172,list,1030,514.880805
173,called,1027,513.381152
174,york,1026,512.881268
175,public,1021,510.381847
176,day,1018,508.882194
177,games,1018,508.882194
178,end,1006,502.883582
179,club,1006,502.883582
180,same,1000,499.884277
181,home,1000,499.884277
182,place,998,498.884508
183,so,979,489.386707
184,due,977,488.386938
185,won,966,482.888211
186,found,961,480.38879
187,february,955,477.389484
188,west,953,476.389716
189,river,949,474.390179
190,e,941,470.391104
191,long,941,470.391104
192,best,923,461.393187
193,use,923,461.393187
194,began,921,460.393419
195,like,914,456.894229
196,british,880,439.898164
197,station,876,437.898626
198,football,876,437.898626
199,century,876,437.898626
200,line,873,436.398974
201,now,864,431.900015
202,college,855,427.401057
203,major,844,421.90233
204,around,843,421.402445
205,named,843,421.402445
206,g,841,420.402677
207,old,840,419.902793
208,official,835,417.403371
209,held,834,416.903487
210,members,826,412.904413
211,published,823,411.40476
212,town,823,411.40476
213,east,823,411.40476
214,isbn,814,406.905801
215,building,810,404.906264
216,five,802,400.90719
217,could,801,400.407306
218,any,800,399.907421
219,served,798,398.907653
220,back,794,396.908116
221,another,794,396.908116
222,final,792,395.908347
223,left,792,395.908347
224,died,791,395.408463
225,church,791,395.408463
226,championship,787,393.408926
227,party,782,390.909504
228,main,781,390.40962
229,because,781,390.40962
230,player,780,389.909736
231,located,778,388.909967
232,took,776,387.910199
233,built,772,385.910662
234,original,771,385.410777
235,third,771,385.410777
236,f,769,384.411009
237,single,767,383.41124
238,local,766,382.911356
239,age,763,381.411703
240,within,757,378.412398
241,received,757,378.412398
242,said,757,378.412398
243,art,753,376.41286
